City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Lagoa,PT,2021-07-20 03:10:44,39.05,-27.9833,69.22,87,98,28.48
96,San Patricio,US,2021-07-20 03:10:45,28.017,-97.5169,84.85,74,100,9.22
97,Neiafu,TO,2021-07-20 03:10:45,-18.65,-173.9833,81.28,78,40,9.22
98,Sorland,NO,2021-07-20 03:10:45,67.667,12.6934,48.85,84,100,28.54
99,Uray,RU,2021-07-20 03:10:46,60.1247,64.7758,70.45,58,34,4.34
100,Castro,BR,2021-07-20 03:10:46,-24.7911,-50.0119,36.91,64,21,3.31
101,Saskylakh,RU,2021-07-20 03:10:46,71.9167,114.0833,57.31,73,99,13.49
102,Pisco,PE,2021-07-20 03:10:47,-13.7,-76.2167,62.65,82,90,6.91
103,Luena,AO,2021-07-20 03:10:47,-11.7833,19.9167,47.66,61,41,3.2
104,Hithadhoo,MV,2021-07-20 03:10:48,-0.6,73.0833,81.5,72,84,5.91
105,Atar,MR,2021-07-20 03:10:48,20.5169,-13.0499,89.2,30,73,3.15
106,Padang,ID,2021-07-20 03:07:19,-0.9492,100.3543,84.25,65,97,3.13
107,Hambantota,LK,2021-07-20 03:10:49,6.1241,81.1185,83.86,69,80,20.22
108,Bambous Virieux,MU,2021-07-20 03:10:49,-20.3428,57.7575,70.21,63,7,19.69
109,Mukhen,RU,2021-07-20 03:10:49,48.1,136.1,90.36,40,39,2.73
110,Esperance,AU,2021-07-20 03:10:50,-33.8667,121.9,57.42,71,100,14.99
111,Teitipac,MX,2021-07-20 03:10:50,16.9458,-96.6092,62.22,85,63,6.11
112,Sechura,PE,2021-07-20 03:10:51,-5.5569,-80.8222,66.02,77,0,11.81
113,Starosubkhangulovo,RU,2021-07-20 03:10:51,53.1031,57.4423,69.8,66,3,1.59
114,New Norfolk,AU,2021-07-20 03:10:51,-42.7826,147.0587,48.58,61,99,5.32
115,Umm Lajj,SA,2021-07-20 03:10:52,25.0213,37.2685,85.12,73,30,5.7
116,Abbeville,FR,2021-07-20 03:10:53,50.1,1.8333,63.28,93,0,4.45
117,Sao Goncalo Do Amarante,BR,2021-07-20 03:10:53,-3.6072,-38.9683,80.64,89,12,6.29
118,Hobart,AU,2021-07-20 03:08:42,-42.8794,147.3294,48.92,69,75,1.99
119,East London,ZA,2021-07-20 03:10:53,-33.0153,27.9116,58.66,80,55,5.93
120,Beloha,MG,2021-07-20 03:07:17,-25.1667,45.05,67.19,71,75,10.85
121,Saldanha,ZA,2021-07-20 03:06:08,-33.0117,17.9442,55.22,73,100,18.92
122,Hay River,CA,2021-07-20 03:10:54,60.8156,-115.7999,61.07,70,100,2.66
123,Flinders,AU,2021-07-20 03:10:55,-34.5833,150.8552,59.2,59,75,4.0
124,Vaini,TO,2021-07-20 03:10:55,-21.2,-175.2,82.56,83,20,5.75
125,Boden,SE,2021-07-20 03:10:55,65.8252,21.6886,50.0,66,34,10.25
126,Prado,BR,2021-07-20 03:10:56,-17.3411,-39.2208,72.16,90,1,4.94
127,Saint-Philippe,RE,2021-07-20 03:10:56,-21.3585,55.7679,67.59,76,75,16.26
128,Sistranda,NO,2021-07-20 03:10:57,63.7256,8.834,51.91,81,99,18.1
129,Bethel,US,2021-07-20 03:06:32,41.3712,-73.414,71.49,90,7,2.48
130,Axim,GH,2021-07-20 03:10:57,4.8699,-2.2405,75.9,80,96,9.82
131,Rockport,US,2021-07-20 03:06:01,28.0206,-97.0544,85.01,81,1,1.99
132,Portland,US,2021-07-20 03:07:43,45.5234,-122.6762,82.72,43,20,3.0
133,Mopipi,BW,2021-07-20 03:10:58,-21.1833,24.8833,45.63,65,0,7.7
134,Mattru,SL,2021-07-20 03:10:58,7.6244,-11.8332,73.15,98,98,2.51
135,Arraial Do Cabo,BR,2021-07-20 03:10:59,-22.9661,-42.0278,65.79,57,26,27.6
136,Walvis Bay,NA,2021-07-20 03:10:59,-22.9575,14.5053,54.09,75,3,12.59
137,Henties Bay,NA,2021-07-20 03:10:59,-22.116,14.2845,53.85,85,0,9.04
138,Chuy,UY,2021-07-20 03:11:00,-33.6971,-53.4616,41.16,89,0,5.93
139,Castlegar,CA,2021-07-20 03:11:00,49.2998,-117.6689,84.11,35,100,2.39
140,Itacare,BR,2021-07-20 03:11:01,-14.2775,-38.9967,72.18,94,27,1.88
141,Fostoria,US,2021-07-20 03:11:01,41.157,-83.4169,74.46,88,0,5.66
