City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Ravar,IR,87.15,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
269,Kirakira,SB,84.52,broken clouds,-10.4544,161.9205,SanBiz Lodge
270,Van Buren,US,84.02,clear sky,35.4368,-94.3483,Hampton Inn Van Buren
271,Roebourne,AU,80.38,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
277,Gorgan,IR,82.31,overcast clouds,36.8387,54.4348,Khayyam Motel
279,Sojat,IN,85.1,overcast clouds,25.9167,73.6667,Mahendi Nagari Sojat City
282,Salalah,OM,77.27,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
283,Pittsburg,US,80.96,overcast clouds,38.028,-121.8847,Hampton Inn & Suites Pittsburg
284,Tres Picos,MX,78.19,scattered clouds,15.8667,-93.5333,HOTEL TRES PICOS
287,Mandan,US,80.96,few clouds,46.8267,-100.8896,Twin City Estates
295,Dingle,PH,88.65,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
298,Shimanovsk,RU,75.88,overcast clouds,52.0,127.7,Гостиница Домашняя
300,Puerto Escondido,MX,80.08,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
306,Manuk Mangkaw,PH,83.66,broken clouds,4.8,119.85,
307,Coro,VE,78.31,moderate rain,11.4045,-69.6734,Federal
309,Red Wing,US,80.33,clear sky,44.5625,-92.5338,"St. James Hotel, 1875 - A Historic Hotel of America"
311,Kendari,ID,83.86,broken clouds,-3.945,122.4989,Hotel Wixel
316,Balkanabat,TM,85.5,clear sky,39.5108,54.3671,Nebitchi Hotel
318,Faanui,PF,78.01,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
320,Tutoia,BR,76.64,clear sky,-2.7619,-42.2744,Pousada Guará's
325,Gorin,RU,82.98,light rain,51.1983,136.6669,
327,Cockburn Town,TC,82.26,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
331,Phulabani,IN,82.83,overcast clouds,20.4667,84.2333,Hotel Raj Kamal
333,Riyadh,SA,89.65,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
342,Akyab,MM,80.04,light rain,20.15,92.9,Hotel Memory
343,Alekseyevsk,RU,85.51,few clouds,57.8406,108.3492,
347,Biak,ID,80.76,broken clouds,-0.9131,122.8766,Penginapan Kim
355,Atar,MR,84.97,overcast clouds,20.5169,-13.0499,Oumou Elghoura
357,Bathsheba,BB,80.71,overcast clouds,13.2167,-59.5167,Atlantis Hotel
363,Filingue,NE,82.87,overcast clouds,14.3521,3.3168,
364,Florida,US,81.77,clear sky,28.7505,-82.5001,Sportsmens Cove
365,Rockland,US,78.46,clear sky,41.1668,-74.0496,National Camp Association
369,Blagoveshchensk,RU,75.81,scattered clouds,50.2667,127.5333,Green Hostels
370,Brownwood,US,87.3,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
372,Kuching,MY,89.82,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
374,Mathbaria,BD,89.33,overcast clouds,22.2876,89.9593,Shikdar Hotel
376,Hamilton,US,77.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
377,Djibo,BF,83.16,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
381,Bustamante,MX,83.14,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
387,Tahoua,NE,77.0,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
396,Gat,IL,79.48,scattered clouds,31.61,34.7642,OlusHome
402,Hasaki,JP,84.29,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
407,Srivardhan,IN,81.91,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
408,Malaga,ES,79.74,clear sky,36.7202,-4.4203,AC Hotel by Marriott Malaga Palacio
409,Coahuayana,MX,78.6,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
411,Sinnamary,GF,76.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
412,Makakilo City,US,79.68,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
413,Rio Tuba,PH,86.23,broken clouds,8.5061,117.4317,Jjas Pension House
414,Namatanai,PG,82.94,light rain,-3.6667,152.4333,Seagulls Inn Namatani
421,Saiki,JP,82.76,scattered clouds,32.95,131.9,（株）サンテツ
425,Providencia,MX,88.86,clear sky,28.7167,-111.5833,
