City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
216,Berlevag,NO,70.8578,29.0864,45.63,77,97,17.78,overcast clouds,2021-07-26 04:02:11
217,Port-Gentil,GA,-0.7193,8.7815,75.52,80,100,7.38,overcast clouds,2021-07-26 04:02:11
218,Lucea,JM,18.451,-78.1736,77.86,78,23,4.12,few clouds,2021-07-26 04:02:11
219,Grand Gaube,MU,-20.0064,57.6608,70.38,71,1,4.0,clear sky,2021-07-26 04:02:12
220,Wakkanai,JP,45.4094,141.6739,77.4,77,6,5.3,clear sky,2021-07-26 04:02:12
221,Kumsi,IN,14.0667,75.4,73.58,84,96,11.45,overcast clouds,2021-07-26 04:02:12
222,Cayenne,GF,4.9333,-52.3333,77.09,91,90,0.0,fog,2021-07-26 04:02:13
223,Nara,JP,34.6851,135.8049,94.96,43,17,5.26,few clouds,2021-07-26 04:02:13
224,Campos,BR,-21.75,-41.3,62.38,89,0,5.86,clear sky,2021-07-26 04:02:13
225,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,4.61,broken clouds,2021-07-26 04:00:58
226,Vestmannaeyjar,IS,63.4427,-20.2734,50.56,79,97,16.98,overcast clouds,2021-07-26 04:02:14
227,Wukari,NG,7.85,9.7833,70.56,90,99,5.97,overcast clouds,2021-07-26 04:02:14
228,Juneau,US,58.3019,-134.4197,56.84,93,93,2.1,light rain,2021-07-26 04:00:44
229,Srednekolymsk,RU,67.45,153.6833,59.43,36,76,14.74,broken clouds,2021-07-26 04:02:15
230,Doka,SD,13.5167,35.7667,70.03,94,100,9.71,overcast clouds,2021-07-26 04:02:15
231,Seydi,TM,39.4816,62.9137,100.87,11,0,15.73,clear sky,2021-07-26 04:02:15
232,Souillac,MU,-20.5167,57.5167,70.36,73,40,11.5,scattered clouds,2021-07-26 04:01:05
233,Carupano,VE,10.6678,-63.2585,75.49,91,100,4.68,overcast clouds,2021-07-26 04:02:16
234,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,75.06,43,82,5.48,broken clouds,2021-07-26 04:02:16
235,Ugoofaaru,MV,5.6667,73.0,81.66,78,100,12.17,overcast clouds,2021-07-26 04:02:16
236,Meulaboh,ID,4.1363,96.1285,84.83,67,90,2.57,overcast clouds,2021-07-26 04:02:17
237,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,40,11.5,scattered clouds,2021-07-26 04:02:17
238,Tartagal,AR,-22.5164,-63.8013,68.18,60,98,3.04,overcast clouds,2021-07-26 04:02:17
239,Safranbolu,TR,41.2508,32.6942,63.09,77,9,0.36,clear sky,2021-07-26 04:02:18
240,Ribeira Grande,PT,38.5167,-28.7,69.49,86,5,16.06,clear sky,2021-07-26 04:02:18
241,Huarmey,PE,-10.0681,-78.1522,64.36,88,3,11.12,clear sky,2021-07-26 04:02:19
242,Huntsville,US,34.7304,-86.5861,79.2,90,1,1.01,clear sky,2021-07-26 03:58:18
243,Roura,GF,4.7263,-52.3274,76.96,100,90,0.0,fog,2021-07-26 04:02:19
